series,episode,baker,technical,result
2,1,Joanne,11,IN
2,2,Joanne,10,IN
2,3,Joanne,1,IN
2,4,Joanne,8,IN
2,5,Joanne,6,IN
2,6,Joanne,1,STAR BAKER
2,7,Joanne,3,IN
2,8,Joanne,1,WINNER
9,1,Antony,12,IN
9,1,Briony,2,IN
9,1,Dan,4,IN
9,1,Jon,5,IN
9,1,Karen,6,IN
9,1,Kim-Joy,10,IN
9,1,Luke,8,IN
9,1,Rahul,7,IN
9,1,Terry,9,IN
9,1,Imelda,11,OUT
9,1,Manon,3,STAR BAKER
9,2,Antony,9,IN
9,2,Briony,5,IN
9,2,Dan,3,IN
9,2,Jon,1,IN
9,2,Karen,11,IN
9,2,Kim-Joy,4,IN
9,2,Manon,6,IN
9,2,Terry,8,IN
9,2,Luke,7,OUT
9,2,Rahul,2,STAR BAKER
9,2,Imelda,NA,NA
9,3,Briony,9,IN
9,3,Dan,6,IN
9,3,Jon,2,IN
9,3,Karen,5,IN
9,3,Kim-Joy,10,IN
9,3,Manon,3,IN
9,3,Terry,1,IN
9,3,Antony,8,OUT
9,3,Rahul,4,STAR BAKER
9,3,Imelda,NA,NA
9,3,Luke,NA,NA
9,4,Terry,NA,[a]
9,4,Briony,5,IN
9,4,Jon,3,IN
9,4,Karen,7,IN
9,4,Kim-Joy,6,IN
9,4,Manon,8,IN
9,4,Rahul,4,IN
9,4,Dan,1,STAR BAKER
9,4,Antony,NA,NA
9,4,Imelda,NA,NA
9,4,Luke,NA,NA
9,5,Briony,6,IN
9,5,Dan,2,IN
9,5,Jon,7,IN
9,5,Manon,5,IN
9,5,Rahul,3,IN
9,5,Karen,9,OUT
9,5,Terry,8,OUT
9,5,Kim-Joy,4,STAR BAKER
9,5,Antony,NA,NA
9,5,Imelda,NA,NA
9,5,Luke,NA,NA
9,6,Jon,2,IN
9,6,Kim-Joy,5,IN
9,6,Manon,4,IN
9,6,Rahul,3,IN
9,6,Dan,6,OUT
9,6,Briony,1,STAR BAKER
9,6,Antony,NA,NA
9,6,Imelda,NA,NA
9,6,Karen,NA,NA
9,6,Luke,NA,NA
9,6,Terry,NA,NA
9,7,Briony,5,IN
9,7,Manon,2,IN
9,7,Rahul,1,IN
9,7,Jon,4,OUT
9,7,Kim-Joy,6,STAR BAKER
9,7,Antony,NA,NA
9,7,Dan,NA,NA
9,7,Imelda,NA,NA
9,7,Karen,NA,NA
9,7,Luke,NA,NA
9,7,Terry,NA,NA
9,8,Briony,1,IN
9,8,Kim-Joy,2,IN
9,8,Rahul,5,IN
9,8,Manon,4,OUT
9,8,Antony,NA,NA
9,8,Dan,NA,NA
9,8,Imelda,NA,NA
9,8,Jon,NA,NA
9,8,Karen,NA,NA
9,8,Luke,NA,NA
9,8,Terry,NA,NA
9,9,Kim-Joy,2,IN
9,9,Rahul,4,IN
9,9,Briony,3,OUT
9,9,Antony,NA,NA
9,9,Dan,NA,NA
9,9,Imelda,NA,NA
9,9,Jon,NA,NA
9,9,Karen,NA,NA
9,9,Luke,NA,NA
9,9,Manon,NA,NA
9,9,Terry,NA,NA
9,10,Kim-Joy,1,Runner-up
9,10,Rahul,2,WINNER
9,10,Antony,NA,NA
9,10,Briony,NA,NA
9,10,Dan,NA,NA
9,10,Imelda,NA,NA
9,10,Jon,NA,NA
9,10,Karen,NA,NA
9,10,Luke,NA,NA
9,10,Manon,NA,NA
9,10,Terry,NA,NA
10,1,Alice,5,IN
10,1,Amelia,4,IN
10,1,Helena,12,IN
10,1,Henry,1,IN
10,1,Jamie,13,IN
10,1,Phil,8,IN
10,1,Priya,7,IN
10,1,Rosie,2,IN
10,1,Steph,3,IN
10,1,Dan,9,OUT
10,1,Michelle,6,STAR BAKER
10,2,Amelia,9,IN
10,2,Helena,12,IN
10,2,Henry,6,IN
10,2,Michelle,8,IN
10,2,Phil,3,IN
10,2,Priya,7,IN
10,2,Rosie,5,IN
10,2,Steph,10,IN
10,2,Jamie,11,OUT
10,2,Alice,1,STAR BAKER
10,2,Dan,NA,NA
10,3,Alice,7,IN
10,3,Helena,8,IN
10,3,Henry,1,IN
10,3,Michelle,5,IN
10,3,Phil,10,IN
10,3,Priya,4,IN
10,3,Rosie,9,IN
10,3,Steph,3,IN
10,3,Amelia,11,OUT
10,3,Dan,NA,NA
10,3,Jamie,NA,NA
10,4,Alice,8,IN
10,4,Helena,9,IN
10,4,Henry,3,IN
10,4,Michelle,5,IN
10,4,Priya,10,IN
10,4,Rosie,4,IN
10,4,Phil,6,OUT
10,4,Steph,1,STAR BAKER
10,4,Amelia,NA,NA
10,4,Dan,NA,NA
10,4,Jamie,NA,NA
10,5,Alice,6,IN
10,5,Henry,3,IN
10,5,Priya,2,IN
10,5,Rosie,5,IN
10,5,Helena,1,OUT
10,5,Michelle,7,OUT
10,5,Steph,4,STAR BAKER
10,5,Amelia,NA,NA
10,5,Dan,NA,NA
10,5,Jamie,NA,NA
10,5,Phil,NA,NA
10,6,Alice,1,IN
10,6,Henry,4,IN
10,6,Rosie,5,IN
10,6,Priya,7,OUT
10,6,Steph,3,STAR BAKER
10,6,Amelia,NA,NA
10,6,Dan,NA,NA
10,6,Helena,NA,NA
10,6,Jamie,NA,NA
10,6,Michelle,NA,NA
10,6,Phil,NA,NA
10,7,Alice,6,IN
10,7,Rosie,1,IN
10,7,Steph,4,IN
10,7,Henry,3,STAR BAKER
10,7,Amelia,NA,NA
10,7,Dan,NA,NA
10,7,Helena,NA,NA
10,7,Jamie,NA,NA
10,7,Michelle,NA,NA
10,7,Phil,NA,NA
10,7,Priya,NA,NA
10,8,Alice,3,IN
10,8,Rosie,2,IN
10,8,Henry,5,OUT
10,8,Steph,4,STAR BAKER
10,8,Amelia,NA,NA
10,8,Dan,NA,NA
10,8,Helena,NA,NA
10,8,Jamie,NA,NA
10,8,Michelle,NA,NA
10,8,Phil,NA,NA
10,8,Priya,NA,NA
10,9,Steph,3,IN
10,9,Rosie,1,OUT
10,9,Alice,4,STAR BAKER
10,9,Amelia,NA,NA
10,9,Dan,NA,NA
10,9,Helena,NA,NA
10,9,Henry,NA,NA
10,9,Jamie,NA,NA
10,9,Michelle,NA,NA
10,9,Phil,NA,NA
10,9,Priya,NA,NA
10,10,Alice,2,Runner-up
10,10,Steph,3,Runner-up
10,10,Amelia,NA,NA
10,10,Dan,NA,NA
10,10,Helena,NA,NA
10,10,Henry,NA,NA
10,10,Jamie,NA,NA
10,10,Michelle,NA,NA
10,10,Phil,NA,NA
10,10,Priya,NA,NA
10,10,Rosie,NA,NA
